name,type,flavors,positive_effects,negative_effects,ailment,search
Himalayan Gold,hybrid,"Menthol, Spicy/Herbal, Pine","Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headaches, Inflammation","Himalayan Gold,Relaxed, Euphoric, Happy, Sleepy,Menthol, Spicy/Herbal, Pine,Insomnia, Pain, Stress, Headaches, Inflammation"
Hindu Kush,indica,"Earthy, Sweet, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Hindu Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Sweet, Woody,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Hindu Skunk,indica,"Skunk, Earthy, Woody","Relaxed, Euphoric, Happy, Energetic, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches","Hindu Skunk,Relaxed, Euphoric, Happy, Energetic, Giggly,Skunk, Earthy, Woody,Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches"
Hippie Chicken,sativa,"Sweet, Tree Fruit, Pepper","Euphoric, Happy, Creative, Uplifted, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue","Hippie Chicken,Euphoric, Happy, Creative, Uplifted, Giggly,Sweet, Tree Fruit, Pepper,Depression, Pain, Stress, Nausea, Fatigue"
Hippie Crippler,hybrid,"Pine, Earthy, Woody","Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Spasticity","Hippie Crippler,Happy, Creative, Energetic, Uplifted,Pine, Earthy, Woody,Depression, Stress, Lack of Appetite, Fatigue, Spasticity"
Hoarfrost,hybrid,"Spicy/Herbal, Vanilla, Woody","Hungry, Euphoric, Happy, Creative, Focused",Not Available,"Depression, Stress, Nausea, Fatigue, Eye Pressure","Hoarfrost,Hungry, Euphoric, Happy, Creative, Focused,Spicy/Herbal, Vanilla, Woody,Depression, Stress, Nausea, Fatigue, Eye Pressure"
Hobbit,hybrid,"Earthy, Strawberry, Berry","Happy, Uplifted, Tingly, Focused",Dry Eyes,"Depression, Insomnia, Pain, Stress, Spasticity","Hobbit,Happy, Uplifted, Tingly, Focused,Earthy, Strawberry, Berry,Depression, Insomnia, Pain, Stress, Spasticity"
Hog's Breath,indica,"Earthy, Woody, Flowery","Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Hog's Breath,Relaxed, Euphoric, Happy, Talkative, Sleepy,Earthy, Woody, Flowery,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Holland's Hope,indica,"Pungent, Pine, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Spasticity","Holland's Hope,Relaxed, Euphoric, Happy, Creative, Uplifted,Pungent, Pine, Earthy,Depression, Insomnia, Pain, Stress, Headache, Spasticity"
Hollywood OG,hybrid,"Earthy, Diesel, Menthol","Relaxed, Happy, Energetic, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Hollywood OG,Relaxed, Happy, Energetic, Focused,Earthy, Diesel, Menthol,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Holy Ghost,hybrid,"Diesel, Citrus, Earthy","Relaxed, Creative, Tingly, Giggly",Dry Mouth,"Depression, Pain, Stress, Fatigue, Muscle Spasms","Holy Ghost,Relaxed, Creative, Tingly, Giggly,Diesel, Citrus, Earthy,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Holy Grail Kush,hybrid,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation","Holy Grail Kush,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Headache, Inflammation"
Honey Bananas,hybrid,"Honey, Sweet, Tropical","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dry Mouth, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms","Honey Bananas,Relaxed, Euphoric, Happy, Uplifted, Giggly,Honey, Sweet, Tropical,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Honey Boo Boo,indica,"Sweet, Honey, Berry","Relaxed, Euphoric, Tingly, Sleepy","Dry Mouth, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Honey Boo Boo,Relaxed, Euphoric, Tingly, Sleepy,Sweet, Honey, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Hong Kong,hybrid,"Earthy, Diesel, Grapefruit","Relaxed, Euphoric, Happy, Creative, Energetic","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Hong Kong,Relaxed, Euphoric, Happy, Creative, Energetic,Earthy, Diesel, Grapefruit,Depression, Insomnia, Pain, Stress, Fatigue"
Hoodwreck,sativa,"Sweet, Earthy, Flowery","Euphoric, Happy, Creative, Energetic, Focused",Not Available,"Depression, Cramps, Fatigue, Headaches, Eye Pressure","Hoodwreck,Euphoric, Happy, Creative, Energetic, Focused,Sweet, Earthy, Flowery,Depression, Cramps, Fatigue, Headaches, Eye Pressure"
Huckleberry,hybrid,"Berry, Sweet, Flowery","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Muscle Spasms","Huckleberry,Relaxed, Euphoric, Happy, Uplifted, Giggly,Berry, Sweet, Flowery,Depression, Pain, Stress, Inflammation, Muscle Spasms"
Huckleberry Hound,hybrid,"Blueberry, Chemical, Skunk","Relaxed, Euphoric, Happy, Creative",Not Available,,"Huckleberry Hound,Relaxed, Euphoric, Happy, Creative,Blueberry, Chemical, Skunk,"
Hulkamania,indica,"Berry, Earthy, Flowery","Relaxed, Euphoric, Happy, Tingly, Aroused",Not Available,"Depression, Insomnia, Lack of Appetite, Headaches, Inflammation","Hulkamania,Relaxed, Euphoric, Happy, Tingly, Aroused,Berry, Earthy, Flowery,Depression, Insomnia, Lack of Appetite, Headaches, Inflammation"
Humboldt,hybrid,"Woody, Earthy, Pine","Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms","Humboldt,Euphoric, Happy, Creative, Uplifted,Woody, Earthy, Pine,Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
Humboldt Dream,indica,"Berry, Earthy, Sweet","Relaxed, Happy, Creative, Uplifted",Dry Eyes,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Humboldt Dream,Relaxed, Happy, Creative, Uplifted,Berry, Earthy, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Humboldt Headband,indica,"Grape, Sweet, Berry","Relaxed, Euphoric, Happy, Sleepy",Dizzy,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Humboldt Headband,Relaxed, Euphoric, Happy, Sleepy,Grape, Sweet, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Hurkle,hybrid,"Sweet, Earthy, Berry","Relaxed, Hungry, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Inflammation, Muscle Spasms","Hurkle,Relaxed, Hungry, Happy, Uplifted, Sleepy,Sweet, Earthy, Berry,Insomnia, Pain, Stress, Inflammation, Muscle Spasms"
Hurricane,sativa,"Pine, Spicy/Herbal, Sweet","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Anxious","Depression, Insomnia, Pain, Stress, Fatigue","Hurricane,Relaxed, Happy, Energetic, Uplifted, Focused,Pine, Spicy/Herbal, Sweet,Depression, Insomnia, Pain, Stress, Fatigue"
Hustler Kush,hybrid,"Earthy, Woody, Sweet","Relaxed, Euphoric, Happy, Energetic, Sleepy",Not Available,"Depression, Pain, Stress, Lack of Appetite, Eye Pressure","Hustler Kush,Relaxed, Euphoric, Happy, Energetic, Sleepy,Earthy, Woody, Sweet,Depression, Pain, Stress, Lack of Appetite, Eye Pressure"
ICED Grapefruit,hybrid,"Grapefruit, Citrus, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue","ICED Grapefruit,Relaxed, Euphoric, Happy, Creative, Uplifted,Grapefruit, Citrus, Sweet,Depression, Pain, Stress, Lack of Appetite, Fatigue"
IG Kush,hybrid,"Sweet, Earthy, Orange","Relaxed, Happy, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headaches","IG Kush,Relaxed, Happy, Sleepy,Sweet, Earthy, Orange,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Ice,hybrid,"Diesel, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Ice,Relaxed, Euphoric, Happy, Uplifted, Focused,Diesel, Flowery, Sweet,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Ice Cream,hybrid,"Sweet, Vanilla, Berry","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Ice Cream,Relaxed, Euphoric, Happy, Uplifted, Focused,Sweet, Vanilla, Berry,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Ice Princess,hybrid,Tropical,"Relaxed, Euphoric, Happy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Ice Princess,Relaxed, Euphoric, Happy,Tropical,Depression, Insomnia, Pain, Stress, Fatigue"
Ice Queen,hybrid,"Earthy, Sweet, Flowery","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches","Ice Queen,Relaxed, Euphoric, Happy, Energetic, Uplifted,Earthy, Sweet, Flowery,Depression, Pain, Stress, Nausea, Headache, Headaches"
Ice Wreck,hybrid,"Ammonia, Earthy, Pungent","Relaxed, Euphoric, Happy, Tingly","Dizzy, Dry Mouth, Paranoid, Anxious","Depression, Pain, Stress, Nausea, Headache, Spasticity","Ice Wreck,Relaxed, Euphoric, Happy, Tingly,Ammonia, Earthy, Pungent,Depression, Pain, Stress, Nausea, Headache, Spasticity"
Iced Widow,indica,"Earthy, Butter, Pine","Relaxed, Euphoric, Happy, Talkative, Giggly","Dry Mouth, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Iced Widow,Relaxed, Euphoric, Happy, Talkative, Giggly,Earthy, Butter, Pine,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Ill OG,indica,"Earthy, Pine, Pungent","Euphoric, Happy, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Eye Pressure, Inflammation","Ill OG,Euphoric, Happy, Giggly,Earthy, Pine, Pungent,Depression, Insomnia, Lack of Appetite, Eye Pressure, Inflammation"
Illuminati OG,indica,"Earthy, Sweet, Citrus","Relaxed, Hungry, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headache, Spasticity","Illuminati OG,Relaxed, Hungry, Happy, Tingly, Sleepy,Earthy, Sweet, Citrus,Depression, Insomnia, Stress, Lack of Appetite, Headache, Spasticity"
In The Pines,sativa,"Pine, Pineapple, Tropical","Relaxed, Euphoric, Creative, Uplifted, Focused","Dizzy, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms","In The Pines,Relaxed, Euphoric, Creative, Uplifted, Focused,Pine, Pineapple, Tropical,Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
Incredible Bulk,indica,"Earthy, Citrus, Pungent","Relaxed, Euphoric, Happy, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Muscle Spasms","Incredible Bulk,Relaxed, Euphoric, Happy, Sleepy, Focused,Earthy, Citrus, Pungent,Insomnia, Pain, Stress, Nausea, Muscle Spasms"
Incredible Hulk,sativa,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms","Incredible Hulk,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Earthy, Pine,Depression, Pain, Stress, Lack of Appetite, Muscle Spasms"
Industrial Plant,hybrid,"Citrus, Honey, Tobacco","Euphoric, Happy, Creative, Energetic, Uplifted",Paranoid,"Depression, Insomnia, Stress, Fatigue, Headaches","Industrial Plant,Euphoric, Happy, Creative, Energetic, Uplifted,Citrus, Honey, Tobacco,Depression, Insomnia, Stress, Fatigue, Headaches"
Ingrid,indica,"Sweet, Cheese, Skunk","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Cramps, Nausea, Headache","Ingrid,Relaxed, Hungry, Euphoric, Happy, Sleepy,Sweet, Cheese, Skunk,Depression, Pain, Stress, Cramps, Nausea, Headache"
Irene OG,hybrid,"Earthy, Sweet, Pungent","Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Headaches","Irene OG,Relaxed, Happy, Energetic, Uplifted, Focused,Earthy, Sweet, Pungent,Depression, Insomnia, Stress, Fatigue, Headaches"
Iron Triangle,hybrid,"Diesel, Earthy, Lemon","Hungry, Happy, Uplifted, Tingly, Giggly",Not Available,"Depression, Insomnia, Pain, Stress, Cramps","Iron Triangle,Hungry, Happy, Uplifted, Tingly, Giggly,Diesel, Earthy, Lemon,Depression, Insomnia, Pain, Stress, Cramps"
Island Haze,sativa,"Sweet, Berry, Blueberry","Euphoric, Creative, Energetic, Uplifted",Dry Mouth,"Depression, Stress, Fatigue","Island Haze,Euphoric, Creative, Energetic, Uplifted,Sweet, Berry, Blueberry,Depression, Stress, Fatigue"
Island Maui Haze,sativa,"Mango, Tropical, Ammonia","Euphoric, Creative, Uplifted, Tingly",Anxious,"Depression, Stress, Cramps, Nausea, Headaches","Island Maui Haze,Euphoric, Creative, Uplifted, Tingly,Mango, Tropical, Ammonia,Depression, Stress, Cramps, Nausea, Headaches"
Island Sweet Skunk,sativa,"Sweet, Tropical, Skunk","Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Island Sweet Skunk,Euphoric, Happy, Energetic, Uplifted, Focused,Sweet, Tropical, Skunk,Depression, Pain, Stress, Headache, Fatigue, Headaches"
J's Famous Kush,hybrid,"Earthy, Pepper, Skunk","Relaxed, Hungry, Focused",Not Available,"Stress, Lack of Appetite, Spasticity","J's Famous Kush,Relaxed, Hungry, Focused,Earthy, Pepper, Skunk,Stress, Lack of Appetite, Spasticity"
J-27,sativa,"Diesel, Earthy, Woody","Euphoric, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Headaches, Inflammation","J-27,Euphoric, Creative, Energetic, Uplifted, Focused,Diesel, Earthy, Woody,Pain, Stress, Nausea, Headaches, Inflammation"
J1,hybrid,"Sweet, Earthy, Skunk","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","J1,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Earthy, Skunk,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Jack 47,hybrid,"Earthy, Spicy/Herbal, Woody","Relaxed, Euphoric, Happy, Creative, Energetic","Dry Mouth, Dry Eyes","Depression, Stress, Lack of Appetite, Fatigue, Inflammation","Jack 47,Relaxed, Euphoric, Happy, Creative, Energetic,Earthy, Spicy/Herbal, Woody,Depression, Stress, Lack of Appetite, Fatigue, Inflammation"
Jack Burton,indica,"Butter, Flowery, Rose","Euphoric, Creative, Focused, Aroused",Dizzy,"Insomnia, Pain, Stress, Fatigue, Inflammation","Jack Burton,Euphoric, Creative, Focused, Aroused,Butter, Flowery, Rose,Insomnia, Pain, Stress, Fatigue, Inflammation"
Jack Diesel,sativa,"Diesel, Earthy, Flowery","Euphoric, Happy, Energetic, Focused, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Lack of Appetite, Fatigue, Inflammation","Jack Diesel,Euphoric, Happy, Energetic, Focused, Giggly,Diesel, Earthy, Flowery,Depression, Insomnia, Lack of Appetite, Fatigue, Inflammation"
Jack Flash,hybrid,"Citrus, Sweet, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Jack Flash,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Sweet, Earthy,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Jack Frost,hybrid,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Jack Frost,Relaxed, Euphoric, Happy, Energetic, Uplifted,Citrus, Earthy, Sweet,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Jack Haze,hybrid,"Earthy, Spicy/Herbal, Woody","Happy, Creative, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Jack Haze,Happy, Creative, Energetic, Talkative, Uplifted,Earthy, Spicy/Herbal, Woody,Depression, Pain, Stress, Fatigue, Headaches"
Jack Herer,sativa,"Earthy, Pine, Woody","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Jack Herer,Euphoric, Happy, Creative, Energetic, Uplifted,Earthy, Pine, Woody,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Jack Kush,hybrid,"Citrus, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Pain, Stress, Lack of Appetite, Headache, Inflammation, Muscle Spasms","Jack Kush,Relaxed, Hungry, Euphoric, Happy, Uplifted,Citrus, Sweet, Pungent,Pain, Stress, Lack of Appetite, Headache, Inflammation, Muscle Spasms"
Jack Skellington,sativa,"Diesel, Citrus, Pungent","Relaxed, Euphoric, Happy, Creative, Energetic","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Fatigue, Muscle Spasms","Jack Skellington,Relaxed, Euphoric, Happy, Creative, Energetic,Diesel, Citrus, Pungent,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Jack Smack,sativa,"Blueberry, Earthy, Spicy/Herbal","Relaxed, Happy, Energetic, Uplifted, Focused",Not Available,"Depression, Stress, Lack of Appetite, Fatigue, Headaches","Jack Smack,Relaxed, Happy, Energetic, Uplifted, Focused,Blueberry, Earthy, Spicy/Herbal,Depression, Stress, Lack of Appetite, Fatigue, Headaches"
Jack Widow,hybrid,"Sweet, Earthy, Mango","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Fatigue, Headaches","Jack Widow,Euphoric, Happy, Creative, Energetic, Uplifted,Sweet, Earthy, Mango,Pain, Stress, Nausea, Fatigue, Headaches"
Jack Wreck,sativa,"Citrus, Pungent, Blue Cheese","Euphoric, Creative, Energetic, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Jack Wreck,Euphoric, Creative, Energetic, Uplifted, Focused,Citrus, Pungent, Blue Cheese,Depression, Insomnia, Pain, Stress, Fatigue"
Jack the Ripper,sativa,"Lemon, Citrus, Pine","Euphoric, Happy, Energetic, Talkative, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches","Jack the Ripper,Euphoric, Happy, Energetic, Talkative, Uplifted,Lemon, Citrus, Pine,Depression, Pain, Stress, Nausea, Headache, Headaches"
Jack's Cleaner,sativa,"Citrus, Lemon, Chemical","Euphoric, Energetic, Talkative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Fatigue","Jack's Cleaner,Euphoric, Energetic, Talkative, Uplifted, Focused,Citrus, Lemon, Chemical,Depression, Pain, Stress, Nausea, Fatigue"
Jack's Dream,hybrid,"Grape, Berry, Blueberry","Euphoric, Happy, Creative, Uplifted, Focused",Not Available,"Depression, Pain, Cramps, Fatigue, Inflammation","Jack's Dream,Euphoric, Happy, Creative, Uplifted, Focused,Grape, Berry, Blueberry,Depression, Pain, Cramps, Fatigue, Inflammation"
Jackalope,sativa,"Earthy, Citrus, Flowery","Relaxed, Happy, Sleepy, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Fatigue, Headaches","Jackalope,Relaxed, Happy, Sleepy, Aroused,Earthy, Citrus, Flowery,Depression, Insomnia, Stress, Fatigue, Headaches"
Jacked-Up,hybrid,"Berry, Citrus, Lemon","Hungry, Creative, Energetic, Focused, Aroused",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue","Jacked-Up,Hungry, Creative, Energetic, Focused, Aroused,Berry, Citrus, Lemon,Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue"
Jacky White,sativa,"Flowery, Grapefruit, Citrus","Relaxed, Happy, Energetic, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Nausea, Fatigue","Jacky White,Relaxed, Happy, Energetic, Uplifted, Focused,Flowery, Grapefruit, Citrus,Depression, Insomnia, Stress, Nausea, Fatigue"
Jah Kush,hybrid,"Citrus, Earthy, Sweet","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Jah Kush,Relaxed, Happy, Energetic, Uplifted, Focused,Citrus, Earthy, Sweet,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Jahwaiian,sativa,"Sweet, Tropical, Earthy","Euphoric, Happy, Creative, Energetic, Aroused",Not Available,Pain,"Jahwaiian,Euphoric, Happy, Creative, Energetic, Aroused,Sweet, Tropical, Earthy,Pain"
Jamaican,sativa,"Earthy, Tropical, Skunk","Euphoric, Happy, Energetic, Talkative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Fatigue, Headaches","Jamaican,Euphoric, Happy, Energetic, Talkative, Uplifted,Earthy, Tropical, Skunk,Depression, Insomnia, Stress, Fatigue, Headaches"
Jamaican Dream,sativa,"Woody, Earthy, Sweet","Relaxed, Euphoric, Happy, Talkative, Uplifted","Dry Mouth, Anxious","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms","Jamaican Dream,Relaxed, Euphoric, Happy, Talkative, Uplifted,Woody, Earthy, Sweet,Depression, Pain, Stress, Nausea, Headache, Muscle Spasms"
Jamaican Lion,sativa,"Earthy, Nutty, Lime","Relaxed, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms","Jamaican Lion,Relaxed, Happy, Energetic, Uplifted,Earthy, Nutty, Lime,Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
Jamaican Pearl,sativa,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Energetic, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Eye Pressure","Jamaican Pearl,Relaxed, Euphoric, Happy, Energetic, Sleepy,Earthy, Pungent, Woody,Depression, Pain, Stress, Nausea, Eye Pressure"
